,name,grass_win
0,A Ferguson,1
1,A G Barker,1
2,A Galbraith,1
3,A J Gould,1
4,A Jackson,1
6,AJ Mitha,1
9,Aaron Krickstein,12
19,Abe Segal,1
31,Adam Pavlasek,1
44,Adrian Mannarino,49
49,Adrian Menendez Maceiras,1
55,Adrian Voinea,5
59,Adriano Panatta,26
63,Agustin Calleri,4
75,Aisam Ul Haq Qureshi,19
81,Aki Rahunen,2
84,Akira Santillan,1
91,Alan Fox,4
93,Alan Mackin,1
100,Albert Costa,2
104,Albert Montanes,6
108,Albert Portas,3
111,Albert Ramos,6
121,Alberto Mancini,1
125,Alberto Martin,8
145,Alejandro Falla,16
160,Alejandro Olmedo,13
170,Aleksandr Nedovyesov,1
179,Alessio Di Mauro,1
183,Alex Antonitsch,18
186,Alex Bogdanovic,9
189,Alex Bogomolov Jr,11
191,Alex Bolt,1
194,Alex Calatrava,1
198,Alex Corretja,4
201,Alex De Minaur,4
204,Alex Kim,1
208,Alex Kuznetsov,2
216,Alex Metreveli,92
220,Alex Obrien,13
224,Alex Radulescu,10
232,Alexander Bublik,4
241,Alexander Mronz,4
245,Alexander Peya,4
249,Alexander Popp,24
251,Alexander Reichel,1
262,Alexander Volkov,39
266,Alexander Waske,4
269,Alexander Zverev,24
273,Alexandr Dolgopolov,23
275,Alexandre Hocevar,1
281,Alexandre Simoni,1
286,Alexei Popyrin,1
295,Ali Hamadeh,1
301,Alistair Hunt,2
304,Aljaz Bedene,11
308,Allan McDonald,5
311,Allan Stone,72
317,Altug Celikbilek,1
324,Alvaro Fillol,1
331,Alvin Gardiner,6
336,Amer Delic,2
348,Amos Mansdorf,35
353,Anand Amritraj,17
360,Anders Jarryd,35
370,Andre Agassi,50
375,Andre Sa,10
381,Andrea Gaudenzi,1
386,Andreas Beck,7
390,Andreas Haider Maurer,4
395,Andreas Maurer,14
399,Andreas Seppi,60
403,Andreas Vinciguerra,2
410,Andrei Chesnokov,6
414,Andrei Dirzu,1
422,Andrei Medvedev,16
429,Andrei Olhovskiy,23
433,Andrei Pavel,22
439,Andrei Stoliarov,6
454,Andres Gimeno,45
458,Andres Gomez,10
465,Andrew Castle,8
467,Andrew Foster,4
471,Andrew Ilie,5
475,Andrew Jarrett,3
479,Andrew Pattison,35
483,Andrew Richardson,3
492,Andrey Golubev,1
495,Andrey Kuznetsov,7
498,Andrey Rublev,4
504,Andy Andrews,7
508,Andy Kohlberg,1
512,Andy Murray,108
519,Andy Roddick,87
524,Angel Gimenez,1
528,Ante Pavic,2
530,Anthony Billington,1
531,Anthony Bull,1
533,Anthony Hammond,2
534,Anthony Lane,1
545,Antonio Munoz,5
547,Antonio Palafox,2
553,Antonio Zugarelli,4
557,Antony Dupuis,19
562,Aqeel Khan,10
578,Armistead Neely,8
583,Arnaud Boetsch,19
587,Arnaud Clement,50
591,Arnaud Di Pasquale,1
595,Arne Thoms,12
598,Artem Sitak,1
604,Arthur Ashe,110
609,Arvind Parmar,11
634,Austin Krajicek,1
646,Balazs Taroczy,14
650,Barry Cowan,3
654,Barry Mackay,1
657,Barry Moir,5
661,Barry Phillips Moore,30
673,Beejong Sisson,2
676,Belus Prajoux,3
678,Ben Ellwood,1
682,Ben Qiang Zhu,2
686,Ben Testerman,21
694,Benjamin Becker,36
701,Benoit Paire,23
712,Bernard Boileau,1
716,Bernard Fritz,2
720,Bernard Mignot,3
724,Bernard Mitton,36
731,Bernard Tomic,38
737,Bernd Karbacher,4
742,Bernhard Pils,1
744,Berry Geraghty,1
754,Bill Bowrey,44
756,Bill Brown,1
757,Bill Colson,1
760,Bill Freer,2
762,Bill Gilmour,1
764,Bill Lloyd,7
767,Bill Lofgren,2
771,Bill Maze,4
776,Bill Scanlon,59
780,Billy Martin,20
788,Bing Pan,1
792,Birger Andersson,2
796,Bjorn Borg,72
799,Bjorn Fratangelo,3
803,Bjorn Phau,1
813,Blaz Kavcic,3
816,Blaz Rola,1
824,Bob Bryan,8
828,Bob Carmichael,46
832,Bob Giltinan,52
834,Bob Goeltz,1
836,Bob Green,5
840,Bob Hewitt,44
843,Bob Howe,7
848,Bobby Reynolds,5
854,Bohdan Ulihrach,5
862,Bong Soo Kim,1
868,Boris Becker,116
874,Borna Coric,11
886,Brad Drewett,85
890,Brad Gilbert,31
893,Brad Guan,6
896,Brad Pearce,7
900,Bradley Klahn,2
904,Branislav Stankovic,2
907,Brendan Evans,4
910,Brent Larkham,1
915,Bret Garnett,1
921,Brett Steven,35
924,Brian Baker,5
926,Brian Benson,1
927,Brian Bowman,1
928,Brian Cheney,1
929,Brian Connor,1
931,Brian Dabul,3
938,Brian Fairlie,52
941,Brian Ford,1
943,Brian Garrow,1
947,Brian Gottfried,76
952,Brian Macphie,8
958,Brian Teacher,86
961,Brian Vahaly,3
966,Broderick Dyke,19
969,Bruce Derlin,8
975,Bruce Kleege,2
979,Bruce Manson,7
996,Bryan Shelton,24
998,Brydan Klein,1
1002,Bud Schultz,13
1007,Buster C Mottram,25
1011,Butch Seewagen,16
1015,Butch Walts,9
1019,Byron Bertram,18
1023,Byron Black,55
1026,C J Bendall,1
1028,C Wijono,1
1032,Cameron Norrie,5
1038,Carl Limberger,1
1043,Carl Uwe Steeb,2
1052,Carlos Berlocq,6
1061,Carlos Costa,3
1071,Carlos Kirmayr,9
1076,Carlos Moya,13
1093,Cassio Motta,8
1097,Cecil Mamiit,4
1099,Cecil Pedlow,1
1102,Cedric Pioline,46
1105,Cedrik Marcel Stebe,2
1122,Charles Mckinley,2
1125,Charles Owens,7
1128,Charlie Fancutt,15
1132,Charlie Pasarell,55
1134,Charlton Eagle,1
1135,Chauncey Steele Iii,7
1148,Chip Hooper,13
1152,Chiraid Mukherjea,3
1154,Chris Bailey,9
1156,Chris Bovett,1
1161,Chris Delaney,11
1165,Chris Dunk,2
1167,Chris Eaton,1
1173,Chris Guccione,8
1175,Chris Gunning,2
1177,Chris Haggard,1
1180,Chris Johnstone,21
1184,Chris Kachel,18
1188,Chris Lewis,58
1192,Chris Mayotte,1
1196,Chris Pridham,6
1198,Chris Walsh,1
1201,Chris Wilkinson,20
1205,Chris Woodruff,10
1211,Christian Bergstrom,14
1215,Christian Garin,2
1219,Christian Harrison,1
1222,Christian Kuhnke,1
1232,Christian Saceanu,23
1235,Christian Vinck,5
1239,Christo Steyn,16
1243,Christo Van Rensburg,55
1260,Christophe Rochus,3
1264,Christophe Roger Vasselin,2
