,winner_hand,loser_hand
1,R,U
3,R,U
4,R,U
6,R,U
7,R,U
8,R,U
9,U,R
10,R,U
11,R,U
12,R,U
14,R,R
16,R,R
17,R,R
18,R,U
19,R,U
20,R,U
21,R,U
22,R,
23,L,R
24,R,R
25,R,R
26,R,R
27,L,R
28,R,R
29,R,L
30,R,R
31,L,R
32,L,R
33,R,R
34,R,R
36,R,R
37,R,L
44,R,U
45,R,U
46,R,
47,R,U
48,R,U
51,R,U
53,R,
55,R,U
56,R,U
57,R,U
59,R,L
60,U,R
61,R,U
63,R,R
64,R,R
65,R,R
66,L,R
67,,R
68,R,U
69,R,U
70,R,U
71,R,R
72,R,U
73,R,R
74,R,R
75,R,R
76,R,R
77,R,L
78,R,U
79,R,U
81,R,R
82,R,U
83,R,R
84,R,R
85,R,R
86,R,L
87,R,U
88,R,R
89,R,R
90,L,R
91,R,R
92,R,R
93,R,L
94,L,R
95,R,R
96,R,R
97,R,R
98,L,R
99,R,R
100,R,R
101,R,R
102,R,
103,R,R
104,R,R
105,R,R
106,R,R
107,L,R
108,L,R
109,R,R
110,L,R
111,R,R
112,R,R
113,R,R
114,L,R
115,R,R
116,R,L
117,R,R
118,R,R
119,R,L
120,R,L
121,R,R
122,L,R
123,R,R
124,R,R
125,R,R
126,L,R
127,R,R
128,R,L
129,R,R
130,R,R
132,L,R
133,R,
134,R,R
135,R,R
136,L,R
137,R,R
138,R,U
139,R,U
140,R,U
141,R,U
142,R,U
143,R,R
144,R,U
145,R,R
146,L,R
147,R,R
148,R,L
149,R,R
150,R,R
151,R,L
152,R,R
153,R,R
154,R,R
155,R,R
156,R,L
157,R,R
158,R,R
159,R,R
160,R,U
161,R,R
162,R,R
163,R,U
164,R,U
165,R,U
166,R,U
168,R,U
169,R,U
170,L,R
171,R,R
172,R,L
173,R,U
174,R,U
175,R,R
176,R,R
177,R,R
178,R,R
179,U,R
180,R,R
181,L,R
182,R,R
183,R,R
184,R,R
185,U,R
186,R,L
187,R,R
188,R,U
189,R,R
190,R,R
191,L,R
192,L,R
193,R,R
194,U,R
195,R,R
197,R,R
198,R,U
199,R,U
200,R,R
201,R,L
202,R,R
203,R,U
204,L,R
205,R,R
206,R,R
208,R,U
209,L,R
210,R,R
211,R,R
212,R,R
213,L,R
214,R,R
215,L,R
216,L,R
217,R,R
218,R,L
220,R,R
221,R,L
223,R,U
224,R,R
225,L,R
226,R,L
227,L,R
228,R,R
229,R,L
230,L,R
231,R,R
232,R,L
233,R,
234,U,R
235,R,R
236,R,R
237,R,R
238,L,R
239,R,U
240,R,R
241,R,R
242,R,R
243,R,U
244,U,R
245,R,U
246,R,R
247,R,U
248,R,
249,R,R
250,R,U
251,R,R
252,R,R
253,R,U
254,,R
255,R,R
256,R,U
257,R,U
258,R,
259,L,R
260,R,U
261,R,R
262,U,R
263,R,U
264,L,R
265,R,R
266,R,R
267,R,L
268,R,R
269,R,R
271,R,R
272,R,R
273,R,L
274,R,R
275,R,R
276,,R
277,R,R
278,U,R
279,R,R
280,L,R
281,R,R
282,R,R
283,R,R
284,R,U
285,R,R
287,R,R
288,R,L
289,R,
290,R,R
291,R,R
292,R,R
293,R,R
294,R,R
295,R,R
296,R,R
297,R,R
298,R,R
299,R,U
300,R,R
301,R,R
302,R,U
303,L,R
304,R,R
305,R,R
306,R,R
307,R,U
309,R,R
310,R,R
311,R,R
312,R,R
313,R,R
314,R,R
315,R,R
316,R,R
317,R,R
318,R,R
319,L,R
320,R,L
321,R,R
322,R,R
323,R,U
324,R,R
325,L,R
326,R,R
327,L,R
328,R,R
329,R,R
330,R,R
331,L,R
332,R,R
333,R,R
334,R,L
335,L,R
336,R,R
337,L,R
338,R,R
339,R,L
340,R,L
341,R,R
342,R,R
343,R,R
344,R,U
345,R,R
346,R,R
347,R,R
348,R,U
349,L,R
350,R,U
351,R,R
352,R,U
353,R,R
354,R,U
355,R,R
356,R,R
357,U,R
358,R,R
359,R,U
360,R,R
361,R,R
362,R,R
363,R,R
364,R,U
365,R,R
366,R,U
367,R,R
368,R,R
369,R,R
370,R,U
