,winner_name,loser_name,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,first_score_mw,first_score_ml
80939,Gilad Bloom,Sandon Stolle,6-7(4) 7-6(5) 6-4,2.0,0.0,120.0,88.0,59.0,16.0,17.0,11.0,14.0,11.0,17.0,131.0,69.0,52.0,25.0,17.0,5.0,9.0,6,7
80945,Jim Courier,Alexander Mronz,3-6 6-2 6-1,6.0,3.0,68.0,48.0,38.0,11.0,12.0,1.0,2.0,9.0,2.0,89.0,51.0,36.0,13.0,12.0,11.0,15.0,3,6
80949,Nicklas Kulti,Magnus Gustafsson,4-6 6-1 6-1,3.0,2.0,73.0,35.0,26.0,23.0,12.0,1.0,2.0,2.0,0.0,80.0,58.0,34.0,9.0,12.0,7.0,12.0,4,6
80952,Martin Sinner,Mark Woodforde,4-6 6-3 6-4,3.0,7.0,99.0,66.0,42.0,16.0,15.0,4.0,8.0,3.0,3.0,78.0,50.0,31.0,15.0,14.0,4.0,9.0,4,6
80956,Michael Stich,Jimmy Arias,3-6 6-3 6-3,5.0,2.0,74.0,45.0,34.0,18.0,14.0,2.0,4.0,2.0,2.0,81.0,57.0,39.0,12.0,13.0,4.0,7.0,3,6
80971,Robbie Weiss,Renzo Furlan,6-7(4) 6-2 6-4,7.0,8.0,127.0,79.0,56.0,19.0,15.0,13.0,15.0,3.0,1.0,95.0,63.0,42.0,16.0,15.0,6.0,11.0,6,7
80986,Richard Fromberg,Ramesh Krishnan,5-7 6-4 7-5,8.0,0.0,113.0,63.0,45.0,20.0,17.0,8.0,13.0,0.0,1.0,101.0,66.0,40.0,19.0,17.0,5.0,11.0,5,7
80990,Lars Jonsson,Omar Camporese,5-7 6-3 7-6(3),6.0,5.0,100.0,64.0,45.0,20.0,16.0,1.0,5.0,16.0,6.0,130.0,62.0,45.0,28.0,17.0,14.0,19.0,5,7
80994,Jean Philippe Fleurian,Brett Steven,2-6 6-1 6-2,2.0,4.0,80.0,55.0,35.0,16.0,12.0,2.0,4.0,1.0,3.0,68.0,43.0,24.0,14.0,11.0,4.0,8.0,2,6
80999,Luiz Mattar,David Engel,0-6 7-6(5) 6-4,9.0,3.0,110.0,67.0,43.0,20.0,14.0,8.0,13.0,3.0,4.0,108.0,61.0,40.0,26.0,14.0,5.0,8.0,0,6
81001,Lars Jonsson,Martin Sinner,3-6 6-2 6-3,3.0,2.0,84.0,48.0,36.0,19.0,13.0,7.0,8.0,10.0,5.0,85.0,51.0,36.0,15.0,13.0,7.0,10.0,3,6
81003,Karel Novacek,Alexander Mronz,3-6 7-5 6-3,7.0,2.0,100.0,55.0,39.0,27.0,15.0,5.0,7.0,7.0,3.0,99.0,50.0,38.0,24.0,15.0,12.0,15.0,3,6
81014,Patrik Kuhnen,Alex Antonitsch,4-6 6-4 7-5,7.0,2.0,96.0,55.0,34.0,22.0,16.0,3.0,7.0,6.0,5.0,108.0,59.0,41.0,21.0,16.0,1.0,6.0,4,6
81019,Marian Vajda,Patrik Kuhnen,4-6 6-3 6-4,8.0,8.0,104.0,51.0,35.0,31.0,15.0,9.0,12.0,5.0,1.0,86.0,55.0,38.0,13.0,14.0,7.0,11.0,4,6
81020,Jean Philippe Fleurian,Luiz Mattar,3-6 6-4 6-3,6.0,3.0,89.0,46.0,36.0,18.0,14.0,5.0,8.0,5.0,0.0,87.0,48.0,32.0,22.0,14.0,4.0,8.0,3,6
81023,Wally Masur,Ivan Lendl,2-6 7-6(5) RET,1.0,3.0,68.0,47.0,33.0,9.0,10.0,2.0,4.0,5.0,1.0,82.0,47.0,31.0,21.0,10.0,6.0,6.0,2,6
81030,Aaron Krickstein,Jason Stoltenberg,6-7(5) 6-1 6-1,1.0,1.0,80.0,45.0,34.0,22.0,13.0,3.0,4.0,2.0,6.0,88.0,51.0,34.0,15.0,13.0,9.0,15.0,6,7
81032,Jimmy Arias,Petr Korda,5-7 6-2 6-2,5.0,1.0,86.0,60.0,41.0,14.0,14.0,4.0,6.0,2.0,4.0,83.0,42.0,27.0,21.0,14.0,6.0,11.0,5,7
81038,Magnus Gustafsson,Jonas Svensson,3-6 6-4 6-4,0.0,2.0,97.0,65.0,42.0,13.0,14.0,5.0,10.0,5.0,4.0,83.0,47.0,33.0,13.0,15.0,4.0,10.0,3,6
81044,Michael Stich,Jakob Hlasek,3-6 7-6(4) 6-4,12.0,4.0,97.0,55.0,48.0,19.0,15.0,6.0,8.0,1.0,3.0,103.0,52.0,39.0,30.0,16.0,4.0,6.0,3,6
81055,Eduardo Masso,Brad Pearce,6-7(4) 6-1 6-7(6) 6-3 8-6,4.0,2.0,186.0,145.0,89.0,27.0,28.0,8.0,15.0,1.0,5.0,177.0,110.0,67.0,29.0,26.0,7.0,18.0,6,7
81058,Nuno Marques,Joao Cunha Silva,4-6 6-4 1-6 6-3 6-4,1.0,2.0,133.0,100.0,73.0,16.0,23.0,7.0,11.0,2.0,3.0,126.0,77.0,57.0,28.0,23.0,9.0,13.0,4,6
81063,Bart Wuyts,Lars Jonsson,5-7 5-7 6-4 7-6(3) 9-7,3.0,13.0,206.0,151.0,91.0,21.0,31.0,15.0,28.0,14.0,3.0,218.0,127.0,78.0,38.0,31.0,16.0,29.0,5,7
81066,Christian Saceanu,Jeff Tarango,2-6 6-3 6-2 3-6 7-5,12.0,4.0,139.0,98.0,69.0,23.0,23.0,5.0,9.0,3.0,5.0,145.0,98.0,69.0,23.0,23.0,9.0,14.0,2,6
81071,Scott Davis,Alex Antonitsch,3-6 6-2 6-4 6-3,3.0,6.0,121.0,75.0,49.0,20.0,18.0,10.0,16.0,3.0,2.0,129.0,75.0,46.0,18.0,18.0,13.0,22.0,3,6
81078,Jason Stoltenberg,Jakob Hlasek,0-6 6-4 7-5 6-4,5.0,5.0,120.0,73.0,51.0,22.0,19.0,5.0,10.0,6.0,0.0,123.0,80.0,46.0,26.0,19.0,4.0,9.0,0,6
81086,Mark Woodforde,Emilio Sanchez,0-6 7-5 7-6(5) 6-2,3.0,3.0,138.0,77.0,55.0,30.0,19.0,9.0,13.0,5.0,3.0,124.0,94.0,61.0,15.0,19.0,8.0,12.0,0,6
81090,Patrick McEnroe,Thomas Hogstedt,4-6 4-6 6-3 6-1 6-3,8.0,2.0,135.0,91.0,59.0,25.0,23.0,9.0,14.0,8.0,9.0,162.0,91.0,59.0,30.0,22.0,16.0,24.0,4,6
81094,Andrei Cherkasov,Derrick Rostagno,3-6 6-4 6-1 4-6 10-8,8.0,7.0,165.0,109.0,80.0,30.0,27.0,9.0,13.0,9.0,6.0,184.0,127.0,86.0,25.0,27.0,10.0,16.0,3,6
81097,Richard Krajicek,Fabrice Santoro,2-6 6-1 6-2 6-3,9.0,3.0,97.0,48.0,35.0,26.0,16.0,3.0,6.0,1.0,3.0,114.0,74.0,43.0,18.0,16.0,11.0,18.0,2,6
81103,Francisco Clavet,Andrew Castle,6-7(7) 6-2 6-1 6-2,3.0,4.0,122.0,93.0,60.0,18.0,18.0,10.0,12.0,2.0,3.0,120.0,77.0,44.0,20.0,17.0,5.0,13.0,6,7
81104,Todd Woodbridge,Mark Kaplan,1-6 6-3 6-3 6-1,7.0,2.0,101.0,59.0,43.0,23.0,16.0,6.0,8.0,5.0,0.0,102.0,53.0,33.0,25.0,16.0,5.0,10.0,1,6
81107,Michael Stich,Malivai Washington,4-6 5-7 7-6(5) 6-1 6-4,5.0,4.0,168.0,104.0,64.0,45.0,26.0,10.0,15.0,7.0,4.0,174.0,114.0,74.0,32.0,25.0,9.0,15.0,4,6
81110,Lars Anders Wahlgren,Marc Rosset,4-6 2-6 7-6(4) 6-3 9-7,4.0,4.0,185.0,113.0,74.0,40.0,27.0,15.0,22.0,10.0,10.0,169.0,104.0,71.0,33.0,28.0,8.0,15.0,4,6
81112,Jacco Eltingh,Robbie Weiss,3-6 6-2 6-3 7-5,12.0,2.0,109.0,62.0,44.0,24.0,19.0,3.0,7.0,12.0,10.0,134.0,76.0,50.0,23.0,19.0,13.0,20.0,3,6
81114,Omar Camporese,Markus Zoecke,3-6 6-2 7-6(5) 6-4,10.0,2.0,118.0,60.0,47.0,38.0,19.0,2.0,4.0,17.0,2.0,143.0,93.0,63.0,30.0,20.0,10.0,14.0,3,6
81115,Paul Haarhuis,Javier Sanchez,2-6 6-1 6-2 7-6(3),6.0,1.0,109.0,76.0,60.0,17.0,18.0,8.0,11.0,1.0,2.0,114.0,75.0,44.0,21.0,17.0,5.0,10.0,2,6
81116,Marian Vajda,Brian Garrow,2-6 6-4 7-5 6-3,5.0,6.0,122.0,70.0,41.0,25.0,19.0,6.0,13.0,1.0,5.0,132.0,85.0,47.0,20.0,20.0,10.0,19.0,2,6
81125,Brad Gilbert,Richard Fromberg,4-6 6-4 6-4 4-6 6-0,8.0,7.0,147.0,92.0,67.0,24.0,23.0,8.0,12.0,11.0,6.0,131.0,69.0,50.0,29.0,23.0,4.0,11.0,4,6
