,winner_name,score,first_score
5,John Mcgrath,4-6 8-6 6-2,4
9,Dennis Foley,4-6 6-4 6-0,4
21,Herb Fitzgibbon,2-6 6-4 6-1,2
26,Ken Fletcher,4-6 6-3 6-4,4
49,Ricardo Aubone,5-7 7-5 6-1 6-4,5
83,Gerald Battrick,4-6 6-3 6-4,4
90,Roger Taylor,3-6 6-3 6-2,3
91,Tom Okker,1-6 6-3 6-4,1
129,Koji Watanabe,1-0 RET,1
130,Jorgen Ulrich,4-6 6-0 6-3,4
132,Roger Taylor,1-6 7-5 6-3,1
136,Nikola Pilic,4-6 6-2 6-2,4
146,Nikola Pilic,5-7 6-4 6-0,5
151,Pierre Darmon,4-6 6-4 6-0,4
152,Pierre Barthes,3-6 8-6 6-4,3
154,Tom Okker,5-7 6-4 6-3,5
157,Tom Okker,2-6 10-8 6-3 6-4,2
171,Detler Herdy,3-6 13-11 6-2,3
176,Robert Wilson,2-6 6-3 6-2 6-3,2
180,Jan Eric Lundquist,5-7 6-2 1-6 6-3 6-3,5
193,Robert Wilson,4-6 8-6 13-11 12-10,4
200,Fred Stolle,5-7 6-4 14-12 6-1,5
202,Andres Gimeno,4-6 6-4 6-1 6-2,4
209,Mark Cox,0-6 6-2 4-6 6-3 6-3,0
221,Ken Rosewall,3-6 6-2 6-0 6-3,3
226,Charlie Pasarell,4-6 16-14 6-2,4
239,Alex Metreveli,4-6 6-3 6-1,4
262,Ernesto Aguirre,4-6 6-4 6-4,4
265,Jean Loup Rouyer,4-6 6-4 6-2,4
282,Thomas Lejus,5-7 7-5 6-1,5
288,Sergei Likhachev,4-6 6-2 6-3,4
303,Roger Taylor,3-6 6-2 7-5 9-7,3
305,Jan Kodes,3-6 6-3 3-6 6-3 6-2,3
306,Frew Mcmillan,3-6 6-3 6-4 6-0,3
317,Tom Okker,3-6 6-0 2-6 6-3 6-0,3
328,John Newcombe,4-6 4-6 8-6 6-4 6-1,4
331,Nikola Pilic,4-6 6-3 6-4 6-1,4
332,Robert Maud,2-6 0-6 6-3 12-10 RET,2
336,John Newcombe,3-6 4-6 6-4 6-0 6-1,3
338,Wilhelm Bungert,4-6 6-1 7-9 11-9 9-7,4
340,John Newcombe,3-6 6-4 6-4 6-3,3
355,Bill Bowrey,4-6 6-2 6-3 6-2,4
357,Roberto Saya,3-6 11-9 6-0 6-4,3
362,Jean Courcol,5-7 6-4 2-6 6-4 6-4,5
365,Ezio Di Matteo,3-6 6-1 6-3 3-6 6-4,3
368,Giordano Maioli,1-6 6-2 6-1 6-4,1
369,Nicholas Kalogeropoulos,5-7 6-3 7-5 6-3,5
375,Jaime Pinto Bravo,1-6 6-2 6-8 6-3 6-3,1
381,Bob Giltinan,4-6 7-5 6-2 6-2,4
388,Dick Crealy,4-6 6-1 2-6 6-1 6-2,4
390,Herb Fitzgibbon,3-6 6-4 6-4 10-8,3
396,Georges Goven,3-6 10-8 4-6 6-2 6-0,3
398,Gaetano Di Maso,3-6 7-5 6-3 6-2,3
403,John Alexander,4-6 6-3 7-9 6-1 6-2,4
407,Barry Phillips Moore,3-6 6-3 6-8 6-1 6-2,3
417,Ion Tiriac,4-6 6-3 6-1 6-2,4
418,Ray Ruffels,4-6 6-4 0-6 6-2 6-2,4
427,Barry Phillips Moore,3-6 9-7 6-2 6-4,3
428,Milan Holecek,1-6 8-6 4-6 6-1 7-5,1
431,Alex Metreveli,2-6 6-0 7-5 2-6 10-8,2
433,Bob Hewitt,3-6 6-1 8-6 2-6 6-2,3
439,Alex Metreveli,4-6 4-6 6-1 8-6 7-5,4
442,Barry Phillips Moore,1-6 7-5 6-1 3-6 6-4,1
