,name,surface,winner_id,won,loser_id,lost,surface_total,total_matches,win_rate
0,A Ferguson,Grass,209829,1,209829,1,2,2,50.0
1,A G Barker,Grass,209639,1,209639,1,2,2,50.0
2,A Galbraith,Grass,208996,1,208996,1,2,2,50.0
3,A J Gould,Grass,209641,1,209641,1,2,2,50.0
4,A Jackson,Grass,209828,1,209828,1,2,2,50.0
5,A Macdonald,Clay,109890,1,109890,1,2,2,50.0
6,AJ Mitha,Grass,209792,1,209792,1,2,2,50.0
7,Aaron Krickstein,Carpet,101381,48,101381,48,96,653,50.0
8,Aaron Krickstein,Clay,101381,122,101381,87,209,653,58.37
9,Aaron Krickstein,Grass,101381,12,101381,9,21,653,57.14
10,Aaron Krickstein,Hard,101381,213,101381,114,327,653,65.14
11,Abd Hazli Bin Zainuddin,Hard,108961,1,108961,3,4,4,25.0
12,Abdel Aslam Mahmoudi,Clay,106440,1,106440,4,5,5,20.0
13,Abdelhak Hameurlaine,Clay,102033,3,102033,9,12,12,25.0
14,Abdul Khalek Nadini,Hard,106442,1,106442,5,6,6,16.67
15,Abdul Rahman Shehab,Hard,110856,1,110856,3,4,4,25.0
16,Abdullah Maqdas,Clay,104895,5,104895,1,6,15,83.33
17,Abdullah Maqdas,Hard,104895,4,104895,5,9,15,44.44
18,Abe Segal,Clay,100007,1,100007,3,4,13,25.0
19,Abe Segal,Grass,100007,1,100007,3,4,13,25.0
20,Abe Segal,Hard,100007,2,100007,3,5,13,40.0
21,Abou Berthe,Hard,108875,1,108875,9,10,10,10.0
22,Adam Chadaj,Clay,104360,3,104360,1,4,4,75.0
23,Adam Kellner,Carpet,104775,2,104775,2,4,13,50.0
24,Adam Kellner,Clay,104775,1,104775,3,4,13,25.0
25,Adam Kellner,Hard,104775,3,104775,2,5,13,60.0
26,Adam Malik,Carpet,101349,4,101349,2,6,22,66.67
27,Adam Malik,Clay,101349,1,101349,3,4,22,25.0
28,Adam Malik,Hard,101349,9,101349,3,12,22,75.0
29,Adam Moundir,Clay,125842,1,125842,1,2,2,50.0
30,Adam Pavlasek,Clay,106361,5,106361,4,9,11,55.56
31,Adam Pavlasek,Grass,106361,1,106361,1,2,11,50.0
32,Adam Skrzypczak,Clay,102327,3,102327,1,4,4,75.0
33,Adam Thompson,Hard,104040,2,104040,2,4,4,50.0
34,Adelo Abadia,Clay,108597,2,108597,4,6,6,33.33
35,Aditya Hari Sasongko,Hard,105177,2,105177,5,7,7,28.57
36,Adolfo Daniel Vallejo,Clay,209226,2,209226,1,3,3,66.67
37,Adolfo Gonzalez,Clay,106447,3,106447,1,4,4,75.0
38,Adrian Andreev,Hard,202090,2,202090,5,7,7,28.57
39,Adrian Cruciat,Clay,104149,1,104149,2,3,3,33.33
40,Adrian Garcia,Clay,103201,9,103201,15,24,38,37.5
41,Adrian Garcia,Hard,103201,4,103201,10,14,38,28.57
42,Adrian Graimprey,Carpet,101203,3,101203,3,6,6,50.0
43,Adrian Mannarino,Clay,105173,14,105173,42,56,448,25.0
44,Adrian Mannarino,Grass,105173,49,105173,34,83,448,59.04
45,Adrian Mannarino,Hard,105173,144,105173,165,309,448,46.6
46,Adrian Marcu,Carpet,100792,1,100792,3,4,26,25.0
47,Adrian Marcu,Clay,100792,11,100792,11,22,26,50.0
48,Adrian Menendez Maceiras,Clay,104629,1,104629,5,6,24,16.67
49,Adrian Menendez Maceiras,Grass,104629,1,104629,3,4,24,25.0
50,Adrian Menendez Maceiras,Hard,104629,4,104629,10,14,24,28.57
51,Adrian Ungur,Clay,104494,11,104494,26,37,53,29.73
52,Adrian Ungur,Hard,104494,6,104494,10,16,53,37.5
53,Adrian Voinea,Carpet,102437,13,102437,20,33,312,39.39
54,Adrian Voinea,Clay,102437,70,102437,80,150,312,46.67
55,Adrian Voinea,Grass,102437,5,102437,14,19,312,26.32
56,Adrian Voinea,Hard,102437,48,102437,62,110,312,43.64
57,Adriano Panatta,Carpet,100214,48,100214,46,94,645,51.06
58,Adriano Panatta,Clay,100214,291,100214,129,420,645,69.29
59,Adriano Panatta,Grass,100214,26,100214,22,48,645,54.17
60,Adriano Panatta,Hard,100214,43,100214,40,83,645,51.81
61,Agustin Calleri,Carpet,102860,5,102860,8,13,399,38.46
62,Agustin Calleri,Clay,102860,135,102860,90,225,399,60.0
63,Agustin Calleri,Grass,102860,4,102860,10,14,399,28.57
64,Agustin Calleri,Hard,102860,66,102860,81,147,399,44.9
65,Agustin Garizzio,Clay,101720,1,101720,2,3,3,33.33
