tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1989-305,Nice,Clay,32,A,19890417,10,101080,,,Lawson Duncan,R,185,USA,24.4736481862,100942,,,Thierry Tulasne,R,178,FRA,25.7659137577,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,63,,78,
1989-305,Nice,Clay,32,A,19890417,11,100431,,Q,Mansour Bahrami,R,178,IRI,32.9746748802,101589,,WC,Arnaud Boetsch,R,183,FRA,20.0438056126,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,369,,250,
1989-305,Nice,Clay,32,A,19890417,12,101649,3,,Guillermo Perez Roldan,R,178,ARG,19.4907597536,100995,,,Eduardo Masso,L,178,BEL,25.2648870637,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,,16,,135,
1989-305,Nice,Clay,32,A,19890417,13,101063,8,,Jordi Arrese,R,175,ESP,24.6324435318,100282,,WC,Guillermo Vilas,L,180,ARG,36.6652977413,6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,,40,,146,
1989-305,Nice,Clay,32,A,19890417,14,100536,,,Fernando Luna,R,175,ESP,30.9815195072,101686,,,Franco Davin,L,173,ARG,19.2635181383,6-2 7-6,3,R32,,,,,,,,,,,,,,,,,,,,80,,175,
1989-305,Nice,Clay,32,A,19890417,15,101964,,,Goran Ivanisevic,L,193,CRO,17.5934291581,101337,,,Martin Strelba,R,190,CZE,22.0725530459,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,88,,91,
1989-305,Nice,Clay,32,A,19890417,16,100936,2,,Henri Leconte,L,185,FRA,25.787816564,101611,,Q,Cedric Pioline,R,188,FRA,19.8384668036,7-5 4-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,14,,465,
1989-305,Nice,Clay,32,A,19890417,17,101387,,,Claudio Pistolesi,R,180,ITA,21.6454483231,100800,,Q,Diego Perez,R,178,URU,27.1841204654,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,128,,156,
1989-305,Nice,Clay,32,A,19890417,18,100894,,,Francesco Cancellotti,R,183,ITA,26.135523614,101511,7,,Horst Skoff,R,175,AUT,20.6516084873,5-7 6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,106,,31,
1989-305,Nice,Clay,32,A,19890417,19,100844,,WC,Jerome Potier,L,180,FRA,26.7488021903,101086,4,,Ronald Agenor,R,180,USA,24.424366872,4-6 6-3 7-6,3,R16,,,,,,,,,,,,,,,,,,,,254,,25,
1989-305,Nice,Clay,32,A,19890417,20,101606,5,,Alberto Mancini,R,180,ARG,19.909650924,101120,,,Karel Novacek,R,190,CZE,24.0492813142,7-6 6-7 6-4,3,R16,,,,,,,,,,,,,,,,,,,,32,,85,
1989-305,Nice,Clay,32,A,19890417,21,101230,6,,Andrei Chesnokov,R,188,RUS,23.2032854209,101080,,,Lawson Duncan,R,185,USA,24.4736481862,6-1 6-1,3,R16,,,,,,,,,,,,,,,,,,,,30,,63,
