,name,surface,won,lost,surface_total,total_matches,win_rate
0,A Ferguson,Grass,1,1,2,2,50.0
1,A G Barker,Grass,1,1,2,2,50.0
2,A Galbraith,Grass,1,1,2,2,50.0
3,A J Gould,Grass,1,1,2,2,50.0
4,A Jackson,Grass,1,1,2,2,50.0
5,A Macdonald,Clay,1,1,2,2,50.0
6,AJ Mitha,Grass,1,1,2,2,50.0
7,Aaron Krickstein,Carpet,48,48,96,653,50.0
8,Aaron Krickstein,Clay,122,87,209,653,58.37
9,Aaron Krickstein,Grass,12,9,21,653,57.14
10,Aaron Krickstein,Hard,213,114,327,653,65.14
11,Abd Hazli Bin Zainuddin,Hard,1,3,4,4,25.0
12,Abdel Aslam Mahmoudi,Clay,1,4,5,5,20.0
13,Abdelhak Hameurlaine,Clay,3,9,12,12,25.0
14,Abdul Khalek Nadini,Hard,1,5,6,6,16.67
15,Abdul Rahman Shehab,Hard,1,3,4,4,25.0
16,Abdullah Maqdas,Clay,5,1,6,15,83.33
17,Abdullah Maqdas,Hard,4,5,9,15,44.44
18,Abe Segal,Clay,1,3,4,13,25.0
19,Abe Segal,Grass,1,3,4,13,25.0
20,Abe Segal,Hard,2,3,5,13,40.0
21,Abou Berthe,Hard,1,9,10,10,10.0
22,Adam Chadaj,Clay,3,1,4,4,75.0
23,Adam Kellner,Carpet,2,2,4,13,50.0
24,Adam Kellner,Clay,1,3,4,13,25.0
25,Adam Kellner,Hard,3,2,5,13,60.0
26,Adam Malik,Carpet,4,2,6,22,66.67
27,Adam Malik,Clay,1,3,4,22,25.0
28,Adam Malik,Hard,9,3,12,22,75.0
29,Adam Moundir,Clay,1,1,2,2,50.0
30,Adam Pavlasek,Clay,5,4,9,11,55.56
31,Adam Pavlasek,Grass,1,1,2,11,50.0
32,Adam Skrzypczak,Clay,3,1,4,4,75.0
33,Adam Thompson,Hard,2,2,4,4,50.0
34,Adelo Abadia,Clay,2,4,6,6,33.33
35,Aditya Hari Sasongko,Hard,2,5,7,7,28.57
36,Adolfo Daniel Vallejo,Clay,2,1,3,3,66.67
37,Adolfo Gonzalez,Clay,3,1,4,4,75.0
38,Adrian Andreev,Hard,2,5,7,7,28.57
39,Adrian Cruciat,Clay,1,2,3,3,33.33
40,Adrian Garcia,Clay,9,15,24,38,37.5
41,Adrian Garcia,Hard,4,10,14,38,28.57
42,Adrian Graimprey,Carpet,3,3,6,6,50.0
43,Adrian Mannarino,Clay,14,42,56,448,25.0
44,Adrian Mannarino,Grass,49,34,83,448,59.04
45,Adrian Mannarino,Hard,144,165,309,448,46.6
46,Adrian Marcu,Carpet,1,3,4,26,25.0
47,Adrian Marcu,Clay,11,11,22,26,50.0
48,Adrian Menendez Maceiras,Clay,1,5,6,24,16.67
49,Adrian Menendez Maceiras,Grass,1,3,4,24,25.0
50,Adrian Menendez Maceiras,Hard,4,10,14,24,28.57
51,Adrian Ungur,Clay,11,26,37,53,29.73
52,Adrian Ungur,Hard,6,10,16,53,37.5
53,Adrian Voinea,Carpet,13,20,33,312,39.39
54,Adrian Voinea,Clay,70,80,150,312,46.67
55,Adrian Voinea,Grass,5,14,19,312,26.32
56,Adrian Voinea,Hard,48,62,110,312,43.64
57,Adriano Panatta,Carpet,48,46,94,645,51.06
58,Adriano Panatta,Clay,291,129,420,645,69.29
59,Adriano Panatta,Grass,26,22,48,645,54.17
60,Adriano Panatta,Hard,43,40,83,645,51.81
61,Agustin Calleri,Carpet,5,8,13,399,38.46
62,Agustin Calleri,Clay,135,90,225,399,60.0
63,Agustin Calleri,Grass,4,10,14,399,28.57
64,Agustin Calleri,Hard,66,81,147,399,44.9
65,Agustin Garizzio,Clay,1,2,3,3,33.33
66,Agustin Moreno,Carpet,1,2,3,24,33.33
67,Agustin Moreno,Clay,5,9,14,24,35.71
68,Agustin Moreno,Hard,1,6,7,24,14.29
69,Ahmad Rabeea Muhammad,Clay,1,1,2,14,50.0
70,Ahmad Rabeea Muhammad,Hard,3,9,12,14,25.0
71,Ahmed Ben Omar,Clay,1,2,3,3,33.33
72,Ahmed El Mehelmy,Clay,14,17,31,36,45.16
73,Ahmed El Mehelmy,Hard,2,3,5,36,40.0
74,Aisam Ul Haq Qureshi,Clay,7,6,13,71,53.85
75,Aisam Ul Haq Qureshi,Grass,19,13,32,71,59.38
76,Aisam Ul Haq Qureshi,Hard,13,13,26,71,50.0
77,Aivaras Balzekas,Carpet,1,1,2,2,50.0
78,Ajeet Rai,Hard,1,2,3,3,33.33
79,Aki Rahunen,Carpet,11,11,22,79,50.0
80,Aki Rahunen,Clay,14,16,30,79,46.67
81,Aki Rahunen,Grass,2,3,5,79,40.0
82,Aki Rahunen,Hard,6,16,22,79,27.27
83,Akinori Naguro,Clay,2,4,6,6,33.33
84,Akira Santillan,Grass,1,1,2,7,50.0
85,Akira Santillan,Hard,1,4,5,7,20.0
86,Al Parker,Hard,1,7,8,8,12.5
87,Alaaddin Karagoz,Clay,6,7,13,17,46.15
88,Alaaddin Karagoz,Hard,2,2,4,17,50.0
89,Alain Brichant,Hard,1,3,4,4,25.0
90,Alan Fox,Clay,2,2,4,20,50.0
91,Alan Fox,Grass,4,4,8,20,50.0
92,Alan Fox,Hard,3,5,8,20,37.5
93,Alan Mackin,Grass,1,6,7,7,14.29
94,Alan Schwarz,Hard,1,1,2,2,50.0
95,Albano Olivetti,Hard,5,6,11,11,45.45
96,Albert Chang,Carpet,4,5,9,23,44.44
97,Albert Chang,Hard,3,11,14,23,21.43
98,Albert Costa,Carpet,8,23,31,662,25.81
99,Albert Costa,Clay,274,138,412,662,66.5
100,Albert Costa,Grass,2,7,9,662,22.22
101,Albert Costa,Hard,104,106,210,662,49.52
102,Albert Gaertner,Hard,1,1,2,2,50.0
103,Albert Montanes,Clay,213,186,399,542,53.38
104,Albert Montanes,Grass,6,13,19,542,31.58
105,Albert Montanes,Hard,38,86,124,542,30.65
106,Albert Portas,Carpet,1,8,9,340,11.11
107,Albert Portas,Clay,127,141,268,340,47.39
108,Albert Portas,Grass,3,11,14,340,21.43
109,Albert Portas,Hard,11,38,49,340,22.45
110,Albert Ramos,Clay,152,127,279,470,54.48
111,Albert Ramos,Grass,6,12,18,470,33.33
112,Albert Ramos,Hard,65,108,173,470,37.57
113,Albert Viviani,Clay,1,3,4,4,25.0
114,Alberto Berasategui,Carpet,7,18,25,476,28.0
115,Alberto Berasategui,Clay,239,130,369,476,64.77
116,Alberto Berasategui,Hard,33,49,82,476,40.24
117,Alberto Brause,Clay,1,1,2,2,50.0
118,Alberto Lim,Hard,2,3,5,5,40.0
119,Alberto Mancini,Carpet,4,7,11,276,36.36
120,Alberto Mancini,Clay,117,82,199,276,58.79
121,Alberto Mancini,Grass,1,2,3,276,33.33
122,Alberto Mancini,Hard,28,35,63,276,44.44
123,Alberto Martin,Carpet,1,5,6,488,16.67
124,Alberto Martin,Clay,157,147,304,488,51.64
125,Alberto Martin,Grass,8,17,25,488,32.0
126,Alberto Martin,Hard,53,100,153,488,34.64
127,Alberto Martorell,Clay,1,6,7,7,14.29
128,Alberto Paris,Clay,1,3,4,4,25.0
129,Alberto Riba,Clay,2,1,3,3,66.67
130,Alberto Tous,Carpet,1,3,4,101,25.0
131,Alberto Tous,Clay,39,52,91,101,42.86
132,Alberto Tous,Hard,1,5,6,101,16.67
133,Aldin Setkic,Clay,6,4,10,15,60.0
134,Aldin Setkic,Hard,2,3,5,15,40.0
135,Alejandro Aramburu,Clay,3,11,14,16,21.43
136,Alejandro Aramburu,Hard,1,1,2,16,50.0
137,Alejandro Aramburu Acuna,Clay,11,12,23,26,47.83
138,Alejandro Aramburu Acuna,Hard,1,2,3,26,33.33
139,Alejandro Cortes,Clay,19,26,45,58,42.22
140,Alejandro Cortes,Hard,5,8,13,58,38.46
141,Alejandro Davidovich Fokina,Clay,5,10,15,35,33.33
142,Alejandro Davidovich Fokina,Hard,13,7,20,35,65.0
143,Alejandro Falla,Carpet,3,3,6,283,50.0
144,Alejandro Falla,Clay,30,40,70,283,42.86
145,Alejandro Falla,Grass,16,25,41,283,39.02
146,Alejandro Falla,Hard,65,101,166,283,39.16
147,Alejandro Ganzabal,Clay,44,63,107,114,41.12
148,Alejandro Ganzabal,Hard,2,5,7,114,28.57
149,Alejandro Gattiker,Carpet,1,2,3,26,33.33
150,Alejandro Gattiker,Clay,3,20,23,26,13.04
151,Alejandro Gomez Gb42,Hard,1,1,2,2,50.0
152,Alejandro Gonzalez,Clay,7,18,25,58,28.0
153,Alejandro Gonzalez,Hard,11,22,33,58,33.33
154,Alejandro Hernandez,Carpet,3,4,7,75,42.86
155,Alejandro Hernandez,Clay,21,19,40,75,52.5
156,Alejandro Hernandez,Hard,13,15,28,75,46.43
157,Alejandro Olivera,Hard,1,3,4,4,25.0
158,Alejandro Olmedo,Carpet,1,2,3,83,33.33
159,Alejandro Olmedo,Clay,3,8,11,83,27.27
160,Alejandro Olmedo,Grass,13,11,24,83,54.17
161,Alejandro Olmedo,Hard,23,22,45,83,51.11
162,Alejandro Pierola,Carpet,1,4,5,63,20.0
163,Alejandro Pierola,Clay,16,42,58,63,27.59
164,Alejandro Tabilo,Clay,1,1,2,6,50.0
165,Alejandro Tabilo,Hard,2,2,4,6,50.0
166,Alejo Mancisidor,Clay,3,19,22,26,13.64
167,Alejo Mancisidor,Hard,2,2,4,26,50.0
168,Aleksandar Vukic,Hard,1,3,4,4,25.0
169,Aleksandr Nedovyesov,Clay,2,8,10,32,20.0
170,Aleksandr Nedovyesov,Grass,1,4,5,32,20.0
171,Aleksandr Nedovyesov,Hard,3,14,17,32,17.65
172,Aleksandre Metreveli,Clay,1,1,2,6,50.0
173,Aleksandre Metreveli,Hard,1,3,4,6,25.0
174,Alen Avidzba,Hard,1,1,2,2,50.0
175,Alessandro De Minicis,Clay,9,14,23,23,39.13
176,Alessandro Giannessi,Clay,10,13,23,31,43.48
177,Alessandro Giannessi,Hard,2,6,8,31,25.0
178,Alessio Di Mauro,Clay,15,31,46,53,32.61
179,Alessio Di Mauro,Grass,1,2,3,53,33.33
180,Alessio Di Mauro,Hard,1,3,4,53,25.0
181,Alex Antonitsch,Carpet,19,35,54,251,35.19
182,Alex Antonitsch,Clay,19,30,49,251,38.78
183,Alex Antonitsch,Grass,18,17,35,251,51.43
184,Alex Antonitsch,Hard,51,62,113,251,45.13
185,Alex Bogdanovic,Clay,1,3,4,47,25.0
186,Alex Bogdanovic,Grass,9,26,35,47,25.71
187,Alex Bogdanovic,Hard,1,7,8,47,12.5
188,Alex Bogomolov Jr,Clay,2,12,14,178,14.29
189,Alex Bogomolov Jr,Grass,11,14,25,178,44.0
190,Alex Bogomolov Jr,Hard,57,82,139,178,41.01
191,Alex Bolt,Grass,1,4,5,29,20.0
192,Alex Bolt,Hard,9,15,24,29,37.5
193,Alex Calatrava,Clay,46,68,114,175,40.35
194,Alex Calatrava,Grass,1,6,7,175,14.29
195,Alex Calatrava,Hard,22,32,54,175,40.74
196,Alex Corretja,Carpet,10,24,34,723,29.41
197,Alex Corretja,Clay,292,149,441,723,66.21
198,Alex Corretja,Grass,4,7,11,723,36.36
199,Alex Corretja,Hard,133,104,237,723,56.12
200,Alex De Minaur,Clay,2,11,13,149,15.38
201,Alex De Minaur,Grass,4,6,10,149,40.0
202,Alex De Minaur,Hard,83,43,126,149,65.87
203,Alex Diaz,Hard,2,2,4,4,50.0
204,Alex Kim,Grass,1,2,3,30,33.33
205,Alex Kim,Hard,7,20,27,30,25.93
206,Alex Kurucz,Clay,2,10,12,12,16.67
207,Alex Kuznetsov,Clay,1,2,3,39,33.33
208,Alex Kuznetsov,Grass,2,6,8,39,25.0
209,Alex Kuznetsov,Hard,6,22,28,39,21.43
210,Alex Llompart,Hard,6,5,11,11,54.55
211,Alex Lopez Moron,Clay,18,31,49,49,36.73
212,Alex Mayer,Carpet,8,2,10,23,80.0
213,Alex Mayer,Hard,10,3,13,23,76.92
214,Alex Metreveli,Carpet,34,26,60,327,56.67
215,Alex Metreveli,Clay,60,35,95,327,63.16
216,Alex Metreveli,Grass,92,25,117,327,78.63
217,Alex Metreveli,Hard,40,15,55,327,72.73
218,Alex Obrien,Carpet,8,13,21,230,38.1
219,Alex Obrien,Clay,10,21,31,230,32.26
220,Alex Obrien,Grass,13,18,31,230,41.94
221,Alex Obrien,Hard,63,84,147,230,42.86
222,Alex Radulescu,Carpet,7,12,19,96,36.84
223,Alex Radulescu,Clay,1,7,8,96,12.5
224,Alex Radulescu,Grass,10,9,19,96,52.63
225,Alex Radulescu,Hard,22,28,50,96,44.0
226,Alex Stepanek,Clay,2,9,11,11,18.18
227,Alexandar Lazarov,Hard,2,4,6,6,33.33
228,Alexandar Lazov,Hard,1,4,5,5,20.0
229,Alexander Blom,Clay,3,5,8,17,37.5
230,Alexander Blom,Hard,4,5,9,17,44.44
231,Alexander Bublik,Clay,5,6,11,88,45.45
232,Alexander Bublik,Grass,4,4,8,88,50.0
233,Alexander Bublik,Hard,35,34,69,88,50.72
234,Alexander Donski,Hard,1,1,2,2,50.0
235,Alexander Kudryavtsev,Hard,5,12,17,17,29.41
236,Alexander Lehnhoff,Hard,1,3,4,4,25.0
237,Alexander Marcial,Clay,2,4,6,10,33.33
238,Alexander Marcial,Hard,1,3,4,10,25.0
239,Alexander Mronz,Carpet,18,24,42,169,42.86
240,Alexander Mronz,Clay,7,17,24,169,29.17
241,Alexander Mronz,Grass,4,7,11,169,36.36
242,Alexander Mronz,Hard,33,59,92,169,35.87
243,Alexander Peya,Carpet,3,4,7,73,42.86
244,Alexander Peya,Clay,7,17,24,73,29.17
245,Alexander Peya,Grass,4,15,19,73,21.05
246,Alexander Peya,Hard,8,15,23,73,34.78
247,Alexander Popp,Carpet,1,4,5,110,20.0
248,Alexander Popp,Clay,5,21,26,110,19.23
249,Alexander Popp,Grass,24,14,38,110,63.16
250,Alexander Popp,Hard,15,26,41,110,36.59
251,Alexander Reichel,Grass,1,1,2,8,50.0
252,Alexander Reichel,Hard,2,4,6,8,33.33
253,Alexander Sadecky,Clay,1,2,3,3,33.33
254,Alexander Sarkissian,Hard,2,3,5,5,40.0
255,Alexander Shvec,Carpet,6,3,9,20,66.67
256,Alexander Shvec,Clay,1,5,6,20,16.67
257,Alexander Shvec,Hard,2,3,5,20,40.0
258,Alexander Skrypko,Carpet,1,2,3,3,33.33
259,Alexander Tabares,Clay,1,1,2,2,50.0
260,Alexander Volkov,Carpet,103,75,178,562,57.87
261,Alexander Volkov,Clay,38,57,95,562,40.0
262,Alexander Volkov,Grass,39,28,67,562,58.21
263,Alexander Volkov,Hard,125,97,222,562,56.31
264,Alexander Waske,Carpet,3,4,7,92,42.86
265,Alexander Waske,Clay,15,29,44,92,34.09
266,Alexander Waske,Grass,4,11,15,92,26.67
267,Alexander Waske,Hard,6,20,26,92,23.08
268,Alexander Zverev,Clay,77,33,110,378,70.0
269,Alexander Zverev,Grass,24,14,38,378,63.16
270,Alexander Zverev,Hard,150,80,230,378,65.22
271,Alexander Zverev Sr,Clay,11,8,19,19,57.89
272,Alexandr Dolgopolov,Clay,62,64,126,423,49.21
273,Alexandr Dolgopolov,Grass,23,20,43,423,53.49
274,Alexandr Dolgopolov,Hard,135,119,254,423,53.15
275,Alexandre Hocevar,Grass,1,1,2,11,50.0
276,Alexandre Hocevar,Hard,4,5,9,11,44.44
277,Alexandre Muller,Hard,1,2,3,3,33.33
278,Alexandre Sidorenko,Clay,2,5,7,13,28.57
279,Alexandre Sidorenko,Hard,2,4,6,13,33.33
280,Alexandre Simoni,Clay,4,9,13,33,30.77
281,Alexandre Simoni,Grass,1,4,5,33,20.0
282,Alexandre Simoni,Hard,5,10,15,33,33.33
283,Alexandre Strambini,Clay,1,2,3,3,33.33
284,Alexandros Jakupovic,Clay,5,7,12,12,41.67
285,Alexei Popyrin,Clay,1,4,5,53,20.0
286,Alexei Popyrin,Grass,1,2,3,53,33.33
287,Alexei Popyrin,Hard,21,24,45,53,46.67
288,Alexey Kedryuk,Carpet,1,2,3,34,33.33
289,Alexey Kedryuk,Clay,3,1,4,34,75.0
290,Alexey Kedryuk,Hard,18,9,27,34,66.67
291,Alexey Vatutin,Clay,2,3,5,5,40.0
292,Alexis Hombrecher,Hard,3,3,6,6,50.0
293,Alfred Schwartz,Hard,1,1,2,2,50.0
294,Alfredo Vaz Pinto,Clay,3,10,13,13,23.08
295,Ali Hamadeh,Grass,1,1,2,19,50.0
296,Ali Hamadeh,Hard,11,6,17,19,64.71
297,Ali Kadhim,Hard,2,2,4,4,50.0
298,Ali Madani,Clay,1,5,6,6,16.67
299,Alistair Hunt,Carpet,3,2,5,29,60.0
300,Alistair Hunt,Clay,1,3,4,29,25.0
301,Alistair Hunt,Grass,2,1,3,29,66.67
302,Alistair Hunt,Hard,6,11,17,29,35.29
303,Aljaz Bedene,Clay,53,53,106,261,50.0
304,Aljaz Bedene,Grass,11,17,28,261,39.29
305,Aljaz Bedene,Hard,58,69,127,261,45.67
306,Alkis Papamichael,Clay,1,13,14,14,7.14
307,Allan McDonald,Clay,2,10,12,31,16.67
308,Allan McDonald,Grass,5,14,19,31,26.32
309,Allan Stone,Carpet,27,50,77,414,35.06
310,Allan Stone,Clay,50,50,100,414,50.0
311,Allan Stone,Grass,72,57,129,414,55.81
312,Allan Stone,Hard,49,59,108,414,45.37
313,Allen Belobrajdic,Hard,1,4,5,5,20.0
314,Alphonso Ochoa,Clay,2,1,3,3,66.67
315,Alti Vahkal,Carpet,2,3,5,5,40.0
316,Altug Celikbilek,Clay,1,1,2,12,50.0
317,Altug Celikbilek,Grass,1,1,2,12,50.0
318,Altug Celikbilek,Hard,4,4,8,12,50.0
319,Alun Jones,Hard,4,9,13,13,30.77
320,Alvaro Betancur,Clay,32,67,99,108,32.32
321,Alvaro Betancur,Hard,1,8,9,108,11.11
322,Alvaro Fillol,Carpet,5,12,17,117,29.41
323,Alvaro Fillol,Clay,19,57,76,117,25.0
324,Alvaro Fillol,Grass,1,4,5,117,20.0
325,Alvaro Fillol,Hard,8,11,19,117,42.11
326,Alvaro Jordan,Clay,11,10,21,33,52.38
327,Alvaro Jordan,Hard,10,2,12,33,83.33
328,Alvaro Pena,Clay,1,2,3,3,33.33
329,Alvin Gardiner,Carpet,3,4,7,116,42.86
330,Alvin Gardiner,Clay,11,30,41,116,26.83
331,Alvin Gardiner,Grass,6,29,35,116,17.14
332,Alvin Gardiner,Hard,10,23,33,116,30.3
333,Aly El Dawoudi,Clay,6,4,10,13,60.0
334,Aly El Dawoudi,Hard,1,2,3,13,33.33
335,Amer Delic,Clay,2,8,10,89,20.0
336,Amer Delic,Grass,2,6,8,89,25.0
337,Amer Delic,Hard,29,42,71,89,40.85
338,Americo Venero Montes,Clay,2,6,8,15,25.0
339,Americo Venero Montes,Hard,5,2,7,15,71.43
340,Amine Ahouda,Clay,2,4,6,6,33.33
341,Amir Hadad,Clay,2,3,5,14,40.0
342,Amir Hadad,Hard,4,5,9,14,44.44
343,Amir Weintraub,Clay,3,2,5,22,60.0
344,Amir Weintraub,Hard,7,10,17,22,41.18
345,Amit Naor,Hard,3,7,10,10,30.0
346,Amos Mansdorf,Carpet,50,46,96,542,52.08
347,Amos Mansdorf,Clay,13,35,48,542,27.08
348,Amos Mansdorf,Grass,35,26,61,542,57.38
349,Amos Mansdorf,Hard,211,126,337,542,62.61
350,Amro Ghoneim,Clay,12,15,27,27,44.44
351,Anand Amritraj,Carpet,10,34,44,258,22.73
352,Anand Amritraj,Clay,32,57,89,258,35.96
353,Anand Amritraj,Grass,17,27,44,258,38.64
354,Anand Amritraj,Hard,29,52,81,258,35.8
355,Anatoli Volkov,Clay,2,6,8,8,25.0
356,Anders Haseth,Carpet,6,3,9,16,66.67
357,Anders Haseth,Clay,3,4,7,16,42.86
358,Anders Jarryd,Carpet,152,74,226,658,67.26
359,Anders Jarryd,Clay,92,68,160,658,57.5
360,Anders Jarryd,Grass,35,30,65,658,53.85
361,Anders Jarryd,Hard,118,89,207,658,57.0
362,Andis Juska,Carpet,8,5,13,39,61.54
363,Andis Juska,Clay,10,10,20,39,50.0
364,Andis Juska,Hard,1,5,6,39,16.67
365,Andras Lanyi,Clay,3,5,8,12,37.5
366,Andras Lanyi,Hard,2,2,4,12,50.0
367,Andras Szikszai,Clay,1,2,3,3,33.33
368,Andre Agassi,Carpet,72,40,112,1147,64.29
369,Andre Agassi,Clay,152,57,209,1147,72.73
370,Andre Agassi,Grass,50,18,68,1147,73.53
371,Andre Agassi,Hard,598,160,758,1147,78.89
372,Andre Ghem,Clay,2,5,7,7,28.57
373,Andre Sa,Carpet,4,7,11,144,36.36
374,Andre Sa,Clay,12,31,43,144,27.91
375,Andre Sa,Grass,10,17,27,144,37.04
